Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,8773.0,8901.5,8769.25,8891.75,170427,0.0,0.0
2020-01-03 00:00:00-05:00,8898.0,8907.75,8735.25,8810.0,315021,0.0,0.0
2020-01-06 00:00:00-05:00,8784.5,8872.5,8723.0,8847.5,222836,0.0,0.0
2020-01-07 00:00:00-05:00,8851.75,8894.5,8825.0,8853.0,225651,0.0,0.0
2020-01-08 00:00:00-05:00,8843.0,8972.5,8678.25,8944.5,418958,0.0,0.0
2020-01-09 00:00:00-05:00,8948.5,9022.25,8932.5,9009.0,241968,0.0,0.0
2020-01-10 00:00:00-05:00,9008.5,9055.25,8966.5,8978.25,234117,0.0,0.0
2020-01-13 00:00:00-05:00,8978.75,9096.5,8978.75,9088.25,171086,0.0,0.0
2020-01-14 00:00:00-05:00,9088.5,9114.75,9035.0,9062.5,269889,0.0,0.0
2020-01-15 00:00:00-05:00,9062.5,9096.0,9023.0,9060.0,219772,0.0,0.0
2020-01-16 00:00:00-05:00,9060.5,9140.25,9060.5,9133.5,174720,0.0,0.0
2020-01-17 00:00:00-05:00,9136.5,9189.25,9130.0,9174.5,173151,0.0,0.0
2020-01-21 00:00:00-05:00,9173.75,9199.75,9114.5,9169.75,231339,0.0,0.0
2020-01-22 00:00:00-05:00,9179.0,9254.0,9174.5,9195.75,194469,0.0,0.0
2020-01-23 00:00:00-05:00,9189.25,9253.75,9151.75,9248.25,240100,0.0,0.0
2020-01-24 00:00:00-05:00,9251.0,9287.5,9109.75,9144.5,328265,0.0,0.0
2020-01-27 00:00:00-05:00,9098.25,9098.25,8926.0,8954.5,397684,0.0,0.0
2020-01-28 00:00:00-05:00,8954.0,9136.0,8952.5,9105.25,308357,0.0,0.0
2020-01-29 00:00:00-05:00,9120.75,9158.75,9072.25,9098.5,304702,0.0,0.0
2020-01-30 00:00:00-05:00,9110.5,9240.0,9003.75,9216.25,395487,0.0,0.0
2020-01-31 00:00:00-05:00,9226.5,9249.0,8965.0,8997.75,572538,0.0,0.0
2020-02-03 00:00:00-05:00,8983.75,9155.75,8975.0,9114.25,299110,0.0,0.0
2020-02-04 00:00:00-05:00,9100.25,9369.0,9073.25,9355.0,275081,0.0,0.0
2020-02-05 00:00:00-05:00,9355.5,9464.25,9318.25,9381.5,329456,0.0,0.0
2020-02-06 00:00:00-05:00,9392.0,9463.5,9363.0,9455.5,256235,0.0,0.0
2020-02-07 00:00:00-05:00,9464.5,9477.0,9385.0,9409.5,277711,0.0,0.0
2020-02-10 00:00:00-05:00,9401.25,9531.75,9330.75,9527.5,267050,0.0,0.0
2020-02-11 00:00:00-05:00,9523.0,9609.5,9501.5,9527.25,259695,0.0,0.0
2020-02-12 00:00:00-05:00,9536.0,9628.0,9524.25,9625.75,213060,0.0,0.0
2020-02-13 00:00:00-05:00,9621.25,9644.75,9511.25,9613.0,293357,0.0,0.0
2020-02-14 00:00:00-05:00,9625.25,9659.25,9588.25,9632.25,228903,0.0,0.0
2020-02-18 00:00:00-05:00,9632.0,9687.25,9534.0,9636.0,309382,0.0,0.0
2020-02-19 00:00:00-05:00,9642.5,9748.75,9640.5,9733.5,191918,0.0,0.0
2020-02-20 00:00:00-05:00,9740.0,9763.0,9516.25,9624.25,483963,0.0,0.0
2020-02-21 00:00:00-05:00,9618.25,9623.5,9411.5,9458.0,460827,0.0,0.0
2020-02-24 00:00:00-05:00,9365.75,9365.75,9041.0,9091.0,719389,0.0,0.0
2020-02-25 00:00:00-05:00,9092.75,9224.5,8810.0,8854.25,887827,0.0,0.0
2020-02-26 00:00:00-05:00,8867.5,9037.75,8709.25,8850.25,919640,0.0,0.0
2020-02-27 00:00:00-05:00,8817.5,8878.25,8334.0,8382.75,1136729,0.0,0.0
2020-02-28 00:00:00-05:00,8353.75,8575.0,8124.25,8454.0,1564102,0.0,0.0
2020-03-02 00:00:00-05:00,8376.25,8883.0,8248.5,8791.25,1051883,0.0,0.0
2020-03-03 00:00:00-05:00,8830.25,9003.0,8510.75,8582.5,1080653,0.0,0.0
2020-03-04 00:00:00-05:00,8559.0,8950.0,8507.25,8896.5,703433,0.0,0.0
2020-03-05 00:00:00-05:00,8889.75,8899.75,8610.75,8648.75,721573,0.0,0.0
2020-03-06 00:00:00-05:00,8675.5,8726.0,8312.0,8503.25,857805,0.0,0.0
2020-03-09 00:00:00-04:00,8418.25,8418.25,7801.0,7951.5,579631,0.0,0.0
2020-03-10 00:00:00-04:00,7894.5,8380.0,7815.5,8331.5,1008309,0.0,0.0
2020-03-11 00:00:00-04:00,8324.25,8334.5,7892.75,8003.5,881797,0.0,0.0
2020-03-12 00:00:00-04:00,7999.0,8108.25,7131.75,7215.25,1087706,0.0,0.0
2020-03-13 00:00:00-04:00,7167.75,7980.0,6942.5,7915.75,263618,0.0,0.0
2020-03-16 00:00:00-04:00,7900.5,7902.25,6926.75,7057.5,117171,0.0,0.0
2020-03-17 00:00:00-04:00,7059.75,7550.25,6946.25,7405.25,126129,0.0,0.0
2020-03-18 00:00:00-04:00,7368.0,7394.5,6828.75,7225.25,85420,0.0,0.0
2020-03-19 00:00:00-04:00,7249.5,7522.5,6896.25,7293.5,77830,0.0,0.0
2020-03-20 00:00:00-04:00,7197.5,7649.0,7150.25,7417.97998046875,949629,0.0,0.0
2020-03-23 00:00:00-04:00,6852.75,7319.25,6628.75,6984.5,918254,0.0,0.0
2020-03-24 00:00:00-04:00,7005.25,7572.75,7005.25,7554.75,737637,0.0,0.0
2020-03-25 00:00:00-04:00,7550.75,7762.25,7372.5,7467.75,914507,0.0,0.0
2020-03-26 00:00:00-04:00,7486.0,7893.5,7310.0,7844.0,817178,0.0,0.0
2020-03-27 00:00:00-04:00,7875.5,7900.25,7551.0,7568.5,714587,0.0,0.0
2020-03-30 00:00:00-04:00,7446.25,7884.75,7391.25,7854.75,638604,0.0,0.0
2020-03-31 00:00:00-04:00,7855.25,7995.0,7747.25,7786.25,638489,0.0,0.0
2020-04-01 00:00:00-04:00,7771.75,7778.75,7403.75,7438.75,628469,0.0,0.0
2020-04-02 00:00:00-04:00,7473.0,7656.5,7375.5,7627.25,752413,0.0,0.0
2020-04-03 00:00:00-04:00,7624.5,7660.5,7423.5,7522.75,514780,0.0,0.0
2020-04-06 00:00:00-04:00,7531.0,8099.0,7531.0,8029.75,519762,0.0,0.0
2020-04-07 00:00:00-04:00,8034.25,8303.75,7947.75,8012.0,728192,0.0,0.0
2020-04-08 00:00:00-04:00,8012.75,8242.0,7953.0,8189.75,611343,0.0,0.0
2020-04-09 00:00:00-04:00,8193.75,8327.0,8102.0,8227.5,640194,0.0,0.0
2020-04-13 00:00:00-04:00,8276.0,8337.75,8075.0,8327.25,442775,0.0,0.0
2020-04-14 00:00:00-04:00,8335.75,8708.5,8319.0,8692.5,452894,0.0,0.0
2020-04-15 00:00:00-04:00,8705.75,8706.0,8486.5,8594.0,496023,0.0,0.0
2020-04-16 00:00:00-04:00,8577.75,8842.75,8500.5,8734.25,591051,0.0,0.0
2020-04-17 00:00:00-04:00,8879.75,8967.75,8689.0,8809.0,578506,0.0,0.0
2020-04-20 00:00:00-04:00,8800.75,8846.0,8686.25,8692.0,512401,0.0,0.0
2020-04-21 00:00:00-04:00,8698.25,8763.0,8342.0,8431.75,756967,0.0,0.0
2020-04-22 00:00:00-04:00,8444.75,8699.25,8399.5,8638.0,511968,0.0,0.0
2020-04-23 00:00:00-04:00,8634.25,8787.0,8582.25,8598.75,502851,0.0,0.0
2020-04-24 00:00:00-04:00,8587.0,8804.0,8498.0,8769.0,455864,0.0,0.0
2020-04-27 00:00:00-04:00,8766.75,8898.0,8728.75,8824.25,432329,0.0,0.0
2020-04-28 00:00:00-04:00,8818.5,8946.0,8654.25,8719.75,568433,0.0,0.0
2020-04-29 00:00:00-04:00,8757.75,9119.25,8733.5,9036.5,550987,0.0,0.0
2020-04-30 00:00:00-04:00,9109.75,9144.75,8856.0,8988.5,638640,0.0,0.0
2020-05-01 00:00:00-04:00,8847.25,8878.5,8671.75,8718.0,521789,0.0,0.0
2020-05-04 00:00:00-04:00,8654.25,8827.5,8556.75,8795.5,531885,0.0,0.0
2020-05-05 00:00:00-04:00,8805.5,9019.75,8796.75,8924.25,515262,0.0,0.0
2020-05-06 00:00:00-04:00,8930.0,9056.5,8877.75,8952.0,561342,0.0,0.0
2020-05-07 00:00:00-04:00,8949.75,9126.0,8930.0,9107.75,503951,0.0,0.0
2020-05-08 00:00:00-04:00,9115.0,9238.0,9102.75,9218.25,453878,0.0,0.0
2020-05-11 00:00:00-04:00,9199.0,9338.75,9118.75,9279.0,575017,0.0,0.0
2020-05-12 00:00:00-04:00,9281.25,9345.75,9040.25,9078.25,680169,0.0,0.0
2020-05-13 00:00:00-04:00,9047.75,9202.5,8878.25,8992.25,954303,0.0,0.0
