DateTime,Open,High,Low,Close,Volume
2008-01-02 06:00:00,3090.75,3092.0,3090.0,3091.5,184
2008-01-02 06:01:00,3091.5,3092.5,3091.5,3092.5,83
2008-01-02 06:02:00,3092.75,3093.75,3092.75,3093.25,25
2008-01-02 06:03:00,3093.0,3093.5,3092.25,3093.0,83
2008-01-02 06:04:00,3093.0,3093.0,3092.5,3093.0,52
2008-01-02 06:05:00,3093.25,3096.0,3093.25,3096.0,53
2008-01-02 06:06:00,3096.0,3096.5,3095.5,3096.0,123
2008-01-02 06:07:00,3096.25,3096.25,3092.75,3093.75,116
2008-01-02 06:08:00,3094.0,3094.0,3094.0,3094.0,3
2008-01-02 06:09:00,3094.5,3094.75,3094.5,3094.5,18
2008-01-02 06:10:00,3094.5,3094.5,3094.0,3094.0,29
2008-01-02 06:11:00,3094.0,3094.0,3094.0,3094.0,2
2008-01-02 06:12:00,3094.5,3094.5,3093.0,3093.75,39
2008-01-02 06:13:00,3094.25,3094.25,3093.75,3094.0,26
2008-01-02 06:14:00,3094.0,3094.0,3093.25,3093.5,10
2008-01-02 06:15:00,3093.75,3094.0,3093.75,3094.0,8
2008-01-02 06:16:00,3094.0,3094.0,3093.5,3093.75,4
2008-01-02 06:17:00,3094.0,3094.0,3094.0,3094.0,12
2008-01-02 06:18:00,3094.25,3094.5,3094.25,3094.5,13
2008-01-02 06:19:00,3094.25,3094.25,3093.75,3094.0,13
2008-01-02 06:20:00,3094.0,3094.5,3094.0,3094.5,3
2008-01-02 06:22:00,3094.0,3094.0,3094.0,3094.0,1
2008-01-02 06:23:00,3094.0,3094.75,3094.0,3094.75,9
2008-01-02 06:25:00,3095.5,3095.5,3095.5,3095.5,1
2008-01-02 06:27:00,3095.25,3095.25,3094.75,3094.75,11
2008-01-02 06:28:00,3094.75,3095.5,3094.75,3095.5,4
2008-01-02 06:29:00,3094.75,3094.75,3094.75,3094.75,170
2008-01-02 06:30:00,3094.75,3095.0,3094.75,3095.0,9
2008-01-02 06:31:00,3095.25,3095.25,3095.25,3095.25,5
2008-01-02 06:32:00,3095.0,3095.0,3095.0,3095.0,1
2008-01-02 06:33:00,3095.25,3095.25,3095.25,3095.25,1
2008-01-02 06:34:00,3095.0,3095.25,3094.75,3095.25,61
2008-01-02 06:35:00,3095.0,3095.0,3094.75,3094.75,25
2008-01-02 06:36:00,3094.75,3095.25,3094.75,3095.25,68
2008-01-02 06:37:00,3095.25,3095.25,3094.75,3095.25,12
2008-01-02 06:38:00,3095.0,3095.5,3094.75,3095.5,34
2008-01-02 06:39:00,3095.5,3095.5,3095.25,3095.25,2
2008-01-02 06:40:00,3095.25,3095.25,3095.25,3095.25,4
2008-01-02 06:41:00,3095.0,3095.0,3094.75,3094.75,5
2008-01-02 06:42:00,3095.25,3095.25,3095.25,3095.25,2
2008-01-02 06:45:00,3095.0,3095.0,3094.75,3094.75,24
2008-01-02 06:46:00,3094.75,3094.75,3094.75,3094.75,6
2008-01-02 06:47:00,3094.75,3094.75,3094.75,3094.75,1
2008-01-02 06:48:00,3094.75,3094.75,3094.75,3094.75,3
2008-01-02 06:50:00,3095.25,3095.25,3095.25,3095.25,2
2008-01-02 06:51:00,3094.75,3095.5,3094.75,3095.0,3
2008-01-02 06:53:00,3095.0,3095.0,3094.75,3095.0,15
2008-01-02 06:54:00,3095.25,3095.75,3095.25,3095.75,33
